date,total_deaths,new_cases,tests
2021-10-06,131157,3235,94147236
2021-10-07,131198,2938,94444592
2021-10-08,131228,3023,94716158
2021-10-09,131274,2748,95061127
2021-10-10,131301,2278,95331171
2021-10-11,131335,1516,95445947
2021-10-12,131384,2494,95761232
2021-10-13,131421,2772,96040177
2021-10-14,131461,2668,96364791
2021-10-15,131503,2732,96870834
2021-10-16,131517,2983,97343369
2021-10-17,131541,2437,97724420
2021-10-18,131585,1597,97944298
2021-10-19,131655,2697,98606298
2021-10-20,131688,3702,99091911
2021-10-21,131724,3794,99666582
2021-10-22,131763,3882,100153800
2021-10-23,131802,3908,100645374
2021-10-24,131826,3725,101049089
2021-10-25,131856,2535,101271474
2021-10-26,131904,4054,101911219
2021-10-27,131954,4598,102379323
2021-10-28,132004,4866,102949658
2021-10-29,132037,5335,103424436
2021-10-30,132074,4878,103901788
2021-10-31,132100,4526,104251958
2021-11-01,132120,2818,104398683
2021-11-02,132161,2834,104637037
2021-11-03,132224,5188,105354348
2021-11-04,132283,5905,105868977
2021-11-05,132334,6764,106412391
2021-11-06,132365,6764,106904353
2021-11-07,132385,5822,107339124
2021-11-08,132423,4197,107588239
2021-11-09,132491,6032,108233928
2021-11-10,132551,7891,108721546
2021-11-11,132618,8569,109317358
2021-11-12,132686,8516,109816293
2021-11-13,132739,8544,110356664
2021-11-14,132775,7569,110802257
2021-11-15,132819,5144,111051082
2021-11-16,132893,7698,111735792
2021-11-17,132965,10172,112273557
2021-11-18,133034,10638,112899331
2021-11-19,133082,10544,113437819
2021-11-20,133131,11555,114012631
2021-11-21,133177,9709,114499740
2021-11-22,133247,6404,114767310
2021-11-23,133330,10047,115456590
2021-11-24,133415,12448,116019095
2021-11-25,133486,13764,116669093
2021-11-26,133537,13686,117226273
2021-11-27,133627,12877,117823171
2021-11-28,133674,12932,118335763
2021-11-29,133739,7975,118611763
2021-11-30,133828,12764,119331735
2021-12-01,133931,15085,119905510
2021-12-02,134003,16806,120584972
2021-12-03,134077,17030,121173417
2021-12-04,134152,16632,121810009
2021-12-05,134195,15021,122335117
2021-12-06,134287,9503,122636677
2021-12-07,134386,15756,123331813
2021-12-08,134472,17959,123896511
2021-12-09,134551,12527,124209339
2021-12-10,134669,20497,124925626
2021-12-11,134765,21042,125490703
2021-12-12,134831,19215,125992518
2021-12-13,134929,12712,126306054
2021-12-14,135049,20677,127082617
2021-12-15,135178,23195,127717255
2021-12-16,135301,26109,128435536
2021-12-17,135421,28632,129104696
2021-12-18,135544,28064,129802436
2021-12-19,135641,24259,130368736
2021-12-20,135778,16213,130705958
2021-12-21,135931,30798,131557823
2021-12-22,136077,36293,132337126
2021-12-23,136245,44595,133238576
2021-12-24,136386,50599,134168351
2021-12-25,136530,54762,135138103
2021-12-26,136611,24883,135355155
2021-12-27,136753,30810,135699123
2021-12-28,136943,78313,136733800
2021-12-29,137091,98030,137763229
2021-12-30,137247,126888,138913581
2021-12-31,137402,144243,140137606
2022-01-01,137513,141358,141268542
2022-01-02,137646,61046,141547196
2022-01-03,137786,68052,141992517
2022-01-04,138045,170844,143220927
2022-01-05,138276,189109,144315182
2022-01-06,138474,219441,145453492
2022-01-07,138697,108304,145945664
2022-01-08,138881,197552,147165930
2022-01-09,139038,155659,148159131
2022-01-10,139265,101762,148771952
2022-01-11,139559,220532,150147466
2022-01-12,139872,196224,151338033
2022-01-13,140188,184615,152519212
2022-01-14,140548,186253,153651521
2022-01-15,140856,180426,154869351
2022-01-16,141104,149512,155797197
2022-01-17,141391,83403,156338495
2022-01-18,141825,212004,157819844
2022-01-19,142205,192320,159001733
2022-01-20,142590,188797,160111999
2022-01-21,142963,179106,161229552
2022-01-22,143296,171263,162273201
2022-01-23,143523,138860,163206585
2022-01-24,143875,77696,163725878
2022-01-25,144344,190514,165147423
2022-01-26,144770,167206,166244710
2022-01-27,145159,155697,167284466
2022-01-28,145537,143898,168335754
2022-01-29,145914,137147,169335244
2022-01-30,146149,104065,170153413
2022-01-31,146498,57715,170631727
2022-02-01,146925,133142,171878714
2022-02-02,147320,118994,172843235
2022-02-03,147734,112691,173758572
2022-02-04,148167,99522,174643465
2022-02-05,148542,93157,175489945
2022-02-06,148771,78952,176176489
2022-02-07,149097,41247,176570152
2022-02-08,149512,101864,177569247
2022-02-09,149896,81367,178300531
2022-02-10,150221,75861,178984246
2022-02-11,150555,67152,179648032
2022-02-12,150824,62231,180235677
2022-02-13,151015,51959,180698558
2022-02-14,151296,28630,180982449
2022-02-15,151684,70852,181678193
2022-02-16,151962,59749,182233273
2022-02-17,152282,57890,182771404
2022-02-18,152596,53662,183281687
2022-02-19,152848,50534,183773732
2022-02-20,152989,42081,184146508
2022-02-21,153190,24408,184378274
2022-02-22,153512,60029,184981913
2022-02-23,153764,49040,185461360
2022-02-24,154013,46169,185945890
2022-02-25,154206,40948,186386005
2022-02-26,154416,38375,186820082
2022-02-27,154560,30629,187137866
2022-02-28,154767,17981,187336379
2022-03-01,155000,46631,187867237
2022-03-02,155214,36429,188282525
2022-03-03,155399,41500,188713837
2022-03-04,155609,38095,189102673
2022-03-05,155782,39963,189484157
2022-03-06,155887,35057,189780403
2022-03-07,156017,22083,189968677
2022-03-08,156201,60191,190499871
2022-03-09,156357,48483,190933832
2022-03-10,156493,54230,191387173
2022-03-11,156649,53127,191812811
2022-03-12,156782,53825,192230588
2022-03-13,156868,48886,192560616
2022-03-14,156997,28900,192765493
2022-03-15,157177,85288,193352508
2022-03-16,157314,72568,193843219
2022-03-17,157442,79895,194373101
2022-03-18,157607,76250,194863984
2022-03-19,157692,74024,195342035
2022-03-20,157785,60415,195712501
2022-03-21,157904,32573,195930717
2022-03-22,158101,96365,196572613
2022-03-23,158254,76260,197086357
2022-03-24,158436,81811,197631659
2022-03-25,158582,75616,198135632
2022-03-26,158700,73357,198639817
2022-03-27,158782,59555,199024140
2022-03-28,158877,30710,199235675
2022-03-29,159054,99457,199896383
2022-03-30,159224,77621,200421282
2022-03-31,159383,73195,200908095
2022-04-01,159537,74350,201422918
2022-04-02,159666,70803,201899959
2022-04-03,159784,53588,202264141
2022-04-04,159909,30630,203647359
2022-04-05,160103,88173,204235935
2022-04-06,160252,69278,204697383
2022-04-07,160402,69596,205167186
2022-04-08,160546,66535,205609215
2022-04-09,160658,63992,206047664
2022-04-10,160748,51376,206399929
2022-04-11,160863,28368,206592711
2022-04-12,161032,83643,207155729
2022-04-13,161187,62037,207575724
2022-04-14,161336,64951,208014099
2022-04-15,161469,61555,208411581
2022-04-16,161602,63815,208836063
2022-04-17,161687,51993,209170287
2022-04-18,161766,18380,209276026
2022-04-19,161893,27214,209450124
2022-04-20,162098,99848,210060724
2022-04-21,162264,75020,210506904
2022-04-22,162466,73212,210944097
2022-04-23,162609,70520,211365630
2022-04-24,162688,56263,211691841
2022-04-25,162781,24878,211830644
2022-04-26,162927,29575,212013319
2022-04-27,163113,87940,212567845
2022-04-28,163244,69204,213009371
2022-04-29,163377,58861,213390610
2022-04-30,163507,53602,213773683
2022-05-01,163612,40757,214061284
2022-05-02,163736,18896,214183728
2022-05-03,163889,62071,214594775
2022-05-04,164041,47039,214930050
2022-05-05,164179,48255,215257228
2022-05-06,164304,43947,215559634
2022-05-07,164417,40522,215865197
2022-05-08,164489,30804,216068651
2022-05-09,164573,17155,216195210
2022-05-10,164731,56015,216566431
2022-05-11,164846,42249,216861042
2022-05-12,164976,39317,217129696
2022-05-13,165091,38507,217395343
2022-05-14,165182,36042,217659090
2022-05-15,165244,27162,217853667
2022-05-16,165346,13668,217958460
2022-05-17,165494,44489,218293677
2022-05-18,165630,30408,218557950
2022-05-19,165738,30310,218805421
2022-05-20,165827,26561,219039166
2022-05-21,165918,23976,219271097
2022-05-22,165952,17744,219432092
2022-05-23,166032,9820,219525905
2022-05-24,166150,31024,219814768
2022-05-25,166264,22438,220034869
2022-05-26,166371,22093,220251857
2022-05-27,166476,19666,220450754
2022-05-28,166542,18255,220643937
2022-05-29,166569,14826,220786003
2022-05-30,166631,7537,220866180
2022-05-31,166697,24267,221108240
2022-06-01,166756,18391,221300348
2022-06-02,166835,17193,221481403
2022-06-03,166875,9429,221552092
